Brand,Model.Number,Price,Photo,Engine.Type,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Clearance.in,Air.Conditioner,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Leather.Seats,Anti.Lock.Braking,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Night.Rear.View.Mirror,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Smoke.Headlamps,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Voice.Control,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp,Radio,Outside.Temperature.Display,Fog.Lights.Front...Back,Centrally.Mounted.Fuel.Tank,CD.Player,DVD.Player,Electric.Adjustable.Seats,Keyless.Entry,Tyre.Pressure.Monitor,Smart.Access.Card.Entry,Xenon.Headlamps,Halogen.Headlamps,Removable.Convertible.Top,Cassette.Player
Honda,Accord Hybrid Sport-L 2023,31670,https://www.ccarprice.com/products/Honda_Accord_Hybrid_Sport-L_2023.jpg,2.0L Inline-4 Hybrid,Sedan,Hybrid,CVT,204,2,247,4,front,44,41,5,4,57.1,196.1,73.3,111.4,5.8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
Honda,Accord Sedan 2023,28000,https://www.ccarprice.com/products/Honda_Accord_Sedan_2023.jpg,1.5L Turbo Inline-4 Gas,Sedan,Petrol,CVT,192,1.5,260,4,front,30,38,5,4,57.1,196.1,73.3,111.4,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
Honda,ZR-V 2023,25000,https://www.ccarprice.com/products/Honda_ZRV_2023.jpg,2.0L Inline-4,SUV,Petrol,CVT,158,2,138,4,front,26,32,5,4,63.4,179.8,72.4,104.5,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,,,,Yes,,,,,,
Honda,HR-V VTi-S 2022,27800,https://www.ccarprice.com/products/Honda_HR-V_VTi-S_2022.jpg,2.0L Inline-4 Gas,SUV,Petrol,CVT,119,2,107,4,front,13,15,5,4,64,174,72,104,8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,,Yes,Yes,,,,,,
Honda,HR-V VTi 2022,26900,https://www.ccarprice.com/products/Honda_HR-V_VTi_2022.jpg,2.0L Inline-4 Gas,SUV,Petrol,CVT,119,2,107,4,front,13,15,5,4,64,174,72,104,8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,,,Yes,,,,,,
Honda,Civic Sport 2023,25440,https://www.ccarprice.com/products/Honda_Civic_Sport_2023.jpg,2.0L Inline-4 Gas,Hatchback,Petrol,CVT,158,2,138,NA,front,29,37,5,4,55.7,179,70.9,107.7,5.2,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,
Honda,CR-V LX 2023,29990,https://www.ccarprice.com/products/Honda_CR_V_LX_2023.jpg,1.5L Turbo Inline-4 Gas,SUV,Petrol,CVT,190,1.5,179,4,front,28,34,5,4,66.1,182.1,73,104.8,6.2,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,
Honda,Clarity Fuel Cell 2023,65000,https://www.ccarprice.com/products/Honda_Clarity_Fuel_Cell_2023.jpg,Electric,Sedan,Electric,Automatic,174,NA,221,NA,front,0,0,5,4,58.2,192.7,73.9,108.3,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,Yes,Yes,,,,,,
Honda,Ridgeline Black Edition 2023,46230,https://www.ccarprice.com/products/Honda_Ridgeline_Black_Edition_2023.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,280,3.5,262,6,all,18,24,5,4,70.8,210.2,78.6,125.2,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
Honda,CR-V EX-L 2023,33760,https://www.ccarprice.com/products/Honda_CR-V_EX-L_2023.jpg,1.5-liter Turbo Inline-4 Gas,SUV,Petrol,CVT,190,1.5,179,4,front,28,34,5,4,66.2,184.8,73.5,106.3,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,
Honda,Accord Sport SE 1.5T 2023,31070,https://www.ccarprice.com/products/Honda_Accord_Sport_SE_1_5T_2023.jpg,1.5L Turbo Inline-4 Gas,Sedan,Petrol,CVT,192,1.5,192,4,front,29,35,5,4,57.1,196.1,73.3,111.4,5.8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
Honda,CR-V Hybrid Sport Touring 2023,33950,https://www.ccarprice.com/products/Honda_CR_V_Hybrid_Sport_Touring_2023_1.jpg,2.0L Inline-4 Hybrid,SUV,Hybrid,CVT,204,2,247,4,all,35,40,5,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,
Honda,CR-V Hybrid Sport 2023,32450,https://www.ccarprice.com/products/Honda_CR-V_Hybrid_Sport_2023.jpg,2.0L Inline-4 Hybrid,SUV,Hybrid,CVT,204,2,247,4,all,35,40,5,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,
Honda,Pilot 2023,40000,https://www.ccarprice.com/products/Honda_Pilot_2023_Specs.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,280,3.5,262,6,all,19,26,8,5,70.6,196.5,78.6,111,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,,,
Honda,Pilot Sport 2022,36830,https://www.ccarprice.com/products/Honda_Pilot_2022.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,280,3.5,262,6,front,20,27,8,5,70.6,196.5,78.6,111,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,,,,
Honda,Passport 2023,37870,https://www.ccarprice.com/products/Honda_Passport_2023.jpg,3.5-liter V6 Gas,SUV,Petrol,Automatic,280,3.5,262,6,all,19,24,5,4,72.2,189.1,78.6,111,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,Yes,,,,,,
Honda,Passport Sport 2022,32790,https://www.ccarprice.com/products/Honda_Passport_2022.jpg,3.5-liter V6 Gas,SUV,Petrol,Automatic,280,3.5,262,NA,front,20,25,5,4,71.6,190.5,78.6,111,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,Yes,,,,,,
Honda,CR-V Hybrid 2022,31610,https://www.ccarprice.com/products/Honda_CR-V_Hybrid_2022.jpg,2.0L Inline-4 Hybrid,SUV,Hybrid,CVT,212,2,129,4,all,40,35,5,4,66.5,182.1,73,104.7,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,
Honda,Odyssey Sport 2023,41210,https://www.ccarprice.com/products/Honda_Odyssey_Sport_2023.jpg,3.5-liter V6 Gas,Van,Petrol,Automatic,280,3.5,262,NA,front,19,28,8,5,69.6,205.2,78.5,118.1,4.5,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,
Honda,Odyssey 2023,37340,https://www.ccarprice.com/products/Honda_Odyssey_2023.jpg,3.5-liter V6 Gas,Van,Petrol,Automatic,280,3.5,262,NA,front,19,28,8,5,69.6,205.2,78.5,118.1,4.5,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,
